570	2330	75	g
571	2335	75	g
572	2340	75	g
573	2345	75	g
574	2350	75	g
575	2355	75	g
576	2330	70	g
577	2335	70	g
578	2340	70	g
579	2345	70	g
580	2350	70	g
581	2355	70	g
582	2330	65	g
583	2335	65	g
584	2340	65	g
585	2345	65	g
586	2350	65	g
587	2355	65	g
# Not-too-late movie (21:30 ish) section (complete)
588	2135	120	g
589	2140	120	g
590	2150	120	g
591	2155	120	
592	2130	115	g
593	2135	115	g
594	2140	115	g
595	2145	115	g
596	2150	115	g
597	2155	115	g
598	2130	110	g
599	2135	110	g
600	2140	110	g
601	2145	110	g
602	2150	110	g
603	2155	110	g
604	2130	105	g
605	2135	105	g
606	2140	105	g
607	2145	105	g
608	2150	105	g
609	2155	105	g
610	2130	100	g
611	2135	100	g
612	2140	100	g
613	2145	100	g
614	2150	100	g
615	2155	100	g
616	2130	95	g
617	2135	95	g
618	2140	95	g
619	2145	95	g
620	2150	95	g
621	2155	95	g
# Late movie (22:00 ish) section (complete)
622	2205	120
623	2210	120	g
624	2220	120
625	2225	120	g
626	2200	115
627	2205	115
628	2210	115	g
629	2215	115	g
630	2220	115	g
631	2225	115	g
632	2200	110
633	2205	110	g
634	2210	110
635	2215	110	g
636	2220	110	g
637	2225	110	g
638	2200	105	g
639	2205	105	g
640	2210	105	g
641	2215	105
642	2220	105	g
643	2225	105	g
644	2200	100
645	2205	100	g
646	2210	100
647	2215	100	g
648	2220	100	g
649	2225	100	g
650	2200	95
651	2205	95	g
652	2210	95	g
653	2215	95	g
654	2220	95	g
655	2225	95	g
# What happened to the 22:30 ish movie section?
# Really late movie (23:00 ish) section (complete)
656	2305	120	g
657	2310	120	g
658	2320	120	g
659	2325	120	g
660	2300	115
661	2305	115	g
662	2310	115	g
663	2315	115	g
664	2320	115	g
665	2325	115	g
666	2300	110	g
667	2305	110	g
668	2310	110	g
669	2315	110	g
670	2320	110	g
671	2325	110	g
672	2300	105
673	2305	105	g
674	2310	105	g
675	2315	105	g
676	2320	105
677	2325	105	g
678	2300	100
679	2305	100	g
680	2310	100	g
681	2315	100	g
682	2320	100	g
683	2325	100	g
684	2300	95
685	2305	95	g
686	2310	95	g
687	2315	95
688	2320	95	g
689	2325	95	g
# Really really late movie (23:30 ish) section (complete)
690	2335	120	g
691	2340	120	g
692	2350	120	g
693	2355	120	g
694	2330	115	g
695	2335	115	g
696	2340	115	g
697	2345	115	g
698	2350	115	g
699	2355	115	g
700	2330	110	g
701	2335	110	g
702	2340	110
703	2345	110	g
704	2350	110	g
705	2355	110	g
706	2330	105	g
707	2335	105
708	2340	105	g
709	2345	105	g
710	2350	105	g
711	2355	105	g
712	2330	100	g
713	2335	100	g
714	2340	100	g
715	2345	100	g
716	2350	100
717	2355	100	g
718	2330	95	g
719	2335	95	g
720	2340	95	g
721	2345	95	g
722	2350	95	g
723	2355	95	g
# Midnight movie section (complete)
724	5	120	g
725	10	120	g
726	20	120	g
727	25	120	g
728	0	115	g
729	5	115	g
730	10	115	g
731	15	115	g
732	20	115	g
733	25	115	g
734	0	110	g
735	5	110	g
736	10	110	g
737	15	110	g
738	20	110	g
739	25	110
740	0	105
741	5	105	g
742	10	105	g
743	15	105
744	20	105	g
745	25	105	g
746	0	100
747	5	100	g
748	10	100	g
749	15	100	g
750	20	100	g
751	25	100	g
752	0	95	g
753	5	95
754	10	95	g
755	15	95	g
756	20	95	g
757	25	95	g
# half past midnight movies section (complete)
758	35	120	g
759	40	120	g
760	50	120	g
761	55	120	g
762	30	115	g
763	35	115
764	40	115	g
765	45	115	g
766	50	115	g
767	55	115	g
768	30	110
769	35	110
770	40	110	g
771	45	110	g
772	50	110	g
773	55	110	g
774	30	105	g
775	35	105
776	40	105	g
777	45	105	g
778	50	105
779	55	105	g
780	30	100
781	35	100	g
782	40	100	g
783	45	100
784	50	100	g
785	55	100
786	30	95	g
787	35	95	g
788	40	95	g
789	45	95	g
790	50	95	g
791	55	95	g
# One in the morning movie section (complete)
792	105	120	g
793	110	120	g
794	120	120	g
795	125	120	g
796	100	115	g
797	105	115	g
798	110	115	g
799	115	115	g
800	120	115	g
