date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:35:22	2978/2978	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202024%2010:35:17%20GMT	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/pc/?C=S;O=A	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/pc/indexbfec.html	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/pc/)
11:35:22	8743/8743	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202024%2010:35:22%20GMT	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/pc/dos/	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/pc/dos/index.html	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/pc/)
11:35:24	8181/8181	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202024%2010:35:23%20GMT	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/pc/windows3/	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/pc/windows3/index.html	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/pc/)
11:35:26	8419/8419	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202024%2010:35:25%20GMT	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/pc/windows95/	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/pc/windows95/index.html	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/pc/)
11:35:27	2978/2978	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202024%2010:35:21%20GMT	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/pc/?C=D;O=A	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/pc/index30b5.html	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/pc/)
11:35:27	4724/4724	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202024%2010:35:22%20GMT	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/pc/NT/	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/pc/NT/index.html	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/pc/)
11:35:27	2034/2034	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202024%2010:35:23%20GMT	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/pc/os2/	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/pc/os2/index.html	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/pc/)
11:35:27	5287/5287	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202024%2010:35:27%20GMT	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/unix/?C=N;O=D	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/unix/indexc052.html	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/unix/)
11:35:27	5287/5287	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202024%2010:35:28%20GMT	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/unix/?C=D;O=A	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/unix/index30b5.html	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/unix/)
11:35:27	35621/35621	---M--	200	added ('OK')	application/x-gzip	etag:%228b25-2ed1a669e3c00%22	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/doc/PostScript/pgformat.ps.gz	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/doc/PostScript/pgformat.ps.gz	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/doc/PostScript/)
